session_time_us,monotonic_us,imu_timestamp_sec,temp,gx,gy,gz,ax,ay,az
13427,2708684,0.11090458333333333,26.806640625,-0.0016555080655962229,-0.00023596151731908321,0.0019114515744149685,0.17271509766578674,-0.09758380055427551,9.82760238647461
13946,2709203,0.11115145833333333,26.489397048950195,2.9538437956944108e-05,0.00028513491270132363,0.0005589922075159848,0.15163874626159668,-0.17480942606925964,9.937175750732422
14007,2709264,0.11176947916666667,26.55908203125,-0.0009199545020237565,0.00046578122419305146,0.0001457312610000372,0.14394229650497437,-0.1777842938899994,9.816200256347656
14373,2709630,0.112283125,26.56082534790039,0.004141516983509064,-0.0006162337958812714,0.006753731984645128,0.16001564264297485,-0.1697593629360199,9.810504913330078
14495,2709752,0.11277630208333334,26.55908203125,0.03435415029525757,0.018987450748682022,0.04166650027036667,0.14080584049224854,-0.16491803526878357,9.799596786499023
14984,2710241,0.11328859375,26.489397048950195,0.0773620754480362,0.03575388714671135,0.07698611915111542,0.14286082983016968,-0.1582821011543274,9.803573608398438
15472,2710729,0.11378416666666667,26.55908203125,0.05544368922710419,-0.016049958765506744,0.06651552021503448,0.15569117665290833,-0.18294422328472137,9.809290885925293
16021,2711278,0.11428640625,26.596540451049805,-0.009730512276291847,0.021536746993660927,0.09456843137741089,0.1608666032552719,-0.18553760647773743,9.816166877746582
16540,2711797,0.11478817708333333,26.55908203125,0.01240619271993637,-0.12531070411205292,0.017675884068012238,0.13538582623004913,-0.1594255268573761,9.808176040649414
17028,2712285,0.11532375,26.55908203125,0.0009211432188749313,-0.1735086292028427,-0.000580713152885437,0.1320566087961197,-0.16409631073474884,9.81224250793457
17547,2712804,0.11586125,26.56103515625,0.002478992100805044,-0.18276344239711761,-0.036306168884038925,0.1639026701450348,-0.18261763453483582,9.809799194335938
18615,2713872,0.11636213541666666,26.53348159790039,0.0029023787938058376,-0.14911410212516785,-0.0957353487610817,0.15923729538917542,-0.1714116334915161,9.796875
19561,2714818,0.11686880208333333,26.56103515625,-0.010650123469531536,-0.10621815919876099,-0.02132629230618477,0.1447741687297821,-0.1568201780319214,9.818872451782227
20019,2715276,0.11740588541666666,26.56103515625,-0.012846097350120544,-0.03926985710859299,-0.016396217048168182,0.14089155197143555,-0.15771137177944183,9.813519477844238
20080,2715337,0.11794114583333333,26.56103515625,-0.006716091651469469,0.029225001111626625,-0.0111727025359869,0.15956690907478333,-0.18436026573181152,9.809736251831055
20202,2715459,0.11847614583333334,26.56103515625,0.002544510643929243,0.18678486347198486,-0.06211087852716446,0.15658709406852722,-0.17636603116989136,9.81075668334961
20599,2715856,0.11898109375,26.561941146850586,0.014857370406389236,0.21711468696594238,0.023002445697784424,0.12986963987350464,-0.15788480639457703,9.801019668579102
21240,2716497,0.1194828125,26.56103515625,0.007862579077482224,0.16930705308914185,-0.01175224781036377,0.13064998388290405,-0.16696733236312866,9.806011199951172
21667,2716924,0.12001953125,26.56103515625,0.00029029883444309235,0.07070661336183548,-0.012514948844909668,0.15444503724575043,-0.18365687131881714,9.810710906982422
22186,2717443,0.12052057291666667,26.555803298950195,0.0008948515169322491,0.12008044868707657,-0.031795747578144073,0.15975983440876007,-0.18374797701835632,9.812295913696289
22704,2717961,0.12102744791666667,26.55810546875,0.0013103471137583256,0.12029178440570831,-0.039957351982593536,0.1519850194454193,-0.15756574273109436,9.812273025512695
23772,2719029,0.12157567708333333,26.55810546875,0.0007332009263336658,0.12107422947883606,-0.037549667060375214,0.14899930357933044,-0.17373022437095642,9.816786766052246
24261,2719518,0.12208119791666666,26.602678298950195,-0.005937738809734583,0.14064733684062958,-0.022845260798931122,0.14490076899528503,-0.16937023401260376,9.804718017578125
24657,2719914,0.12258567708333333,26.5654296875,-0.018500473350286484,0.12967492640018463,-0.02265740931034088,0.14729946851730347,-0.16956758499145508,9.813423156738281
24780,2720037,0.12311911458333333,26.5654296875,-0.003879864700138569,0.1292496770620346,-0.027236059308052063,0.14814257621765137,-0.16068558394908905,9.804445266723633
25268,2720525,0.12362203125,26.60379409790039,-0.0008156324038282037,0.009258192963898182,-0.11460775882005692,0.1563698947429657,-0.17814984917640686,9.803478240966797
25787,2721044,0.12412401041666667,26.5654296875,0.009752381592988968,0.13391339778900146,-0.04578173905611038,0.14956629276275635,-0.1727542281150818,9.818214416503906
26336,2721593,0.12466,26.5654296875,0.008169468492269516,0.1434878259897232,-0.0473756268620491,0.14201775193214417,-0.1644950807094574,9.803967475891113
26824,2722081,0.12515932291666668,26.582590103149414,0.007705936674028635,0.17297513782978058,-0.05366615206003189,0.14691013097763062,-0.16717611253261566,9.818625450134277
27343,2722600,0.12566880208333334,26.5654296875,0.0096788564696908,0.15229691565036774,-0.016360044479370117,0.16368040442466736,-0.172665536403656,9.805356979370117
27862,2723119,0.12616427083333334,26.48828125,0.013650098815560341,0.11139831691980362,0.06239160895347595,0.15139728784561157,-0.17237496376037598,9.805876731872559
28960,2724217,0.12667369791666666,26.56494140625,0.009913562797009945,0.014794113114476204,0.029379840940237045,0.13963627815246582,-0.1675211787223816,9.816672325134277
